id,name,ingredients,category,cooking_time,method,image
19,제육볶음,"돼지앞다리살,양파,대파,고추장,간장",한식,20,1.양념장 만들기 2.고기 재우기 3.팬에 볶기,jeyuk.jpg
20,돼지고기김치찌개,"돼지목살,김치,두부,팽이버섯",한식,25,1.고기·김치 볶기 2.물 붓기 3.두부 넣고 끓이기,dwaeji_kimchi.jpg
21,대패삼겹두부짜글이,"대패삼겹살,두부,양파,고추장,간장",한식,20,1.양념장 만들기 2.재료 볶기 3.자작하게 끓이기,daepae_jjaglyi.jpg
22,간장찜닭,"닭다리살,감자,당근,양파,당면,간장",한식,30,1.닭 데치기 2.양념과 채소 넣기 3.조리기,jjimdak.jpg
23,닭도리탕,"닭,감자,당근,양파,고추장,고춧가루",한식,35,1.닭 데치기 2.양념·채소 넣기 3.푹 끓이기,dakdoritang.jpg
24,닭가슴살구이,"닭가슴살,올리브유,소금,후추",양식,18,1.밑간하기 2.에어프라이어 180도 15분,chicken_breast.jpg
25,간장파스타,"스파게티면,마늘,대파,간장,버터",퓨전,15,1.면 삶기 2.마늘·대파 볶기 3.간장·면 넣고 볶기,ganjang_pasta.jpg
26,알리오올리오,"스파게티면,마늘,페페론치노,올리브유",양식,15,1.면 삶기 2.마늘 오일 내기 3.면 버무리기,aglio.jpg
27,까르보나라,"스파게티면,계란,베이컨,치즈,후추",양식,15,1.면 삶기 2.베이컨 볶기 3.계란·치즈 섞어 버무리기,carbonara.jpg
28,매운크림새우우동,"냉동우동,새우,양파,우유,버터,고춧가루",퓨전,15,1.새우 볶기 2.우유·버터 넣기 3.우동면 넣고 끓이기,spicy_cream_udon.jpg
29,간장버터우동,"냉동우동,대파,계란,간장,버터",일식,8,1.우동면 데우기 2.간장·버터 넣기 3.대파 넣고 볶기,ganjang_butter_udon.jpg
30,파기름국수,"소면,대파,간장,식용유",한식,12,1.대파로 파기름 내기 2.양념 넣기 3.삶은 소면에 비비기,pa_guksu.jpg
31,비빔국수,"소면,오이,계란,고추장,식초",한식,12,1.소면 삶기 2.양념장 만들기 3.비비기,bibim_guksu.jpg
32,간장비빔국수,"소면,쪽파,계란,간장,참기름",한식,10,1.소면 삶기 2.간장양념 섞기 3.비비기,ganjang_bibim.jpg
33,참치비빔우동,"냉동우동,참치캔,김가루,마요네즈,간장",퓨전,7,1.우동면 삶기 2.참치·마요 섞기 3.비비기,chamchi_udon.jpg
34,야채라면,"라면,양파,대파,계란,양배추",한식,10,1.채소 끓이기 2.라면 넣기 3.계란 풀기,yachae_ramen.jpg
35,떡볶이,"떡,어묵,대파,고추장,설탕",한식,15,1.양념물 끓이기 2.떡 넣기 3.어묵 넣고 졸이기,tteokbokki.jpg
36,전자레인지떡볶이,"떡,고추장,설탕,간장",한식,6,1.떡·물·양념 섞기 2.전자레인지 5분,mw_tteokbokki.jpg
37,치즈밥,"밥,슬라이스치즈,김가루,참기름",간단,3,1.밥에 치즈·김가루 올리기 2.전자레인지 2분 3.비비기,cheese_bap.jpg
38,스팸달걀구이,"스팸,계란,후추",한식,7,1.스팸 굽기 2.계란프라이 곁들이기,spam_egg.jpg
39,비엔나소시지볶음,"비엔나소시지,양파,피망,케첩",한식,10,1.재료 썰기 2.팬에 볶기 3.케첩 양념 넣기,vienna.jpg
40,소시지야채볶음,"소시지,양파,당근,애호박,간장",퓨전,12,1.재료 썰기 2.볶기 3.간장·설탕으로 간하기,sausage.jpg
41,감자볶음,"감자,양파,당근,소금",한식,12,1.감자 채썰기 2.팬에 볶기 3.소금 간하기,gamja_bokkeum.jpg
42,애호박볶음,"애호박,양파,새우젓,마늘",한식,10,1.애호박 썰기 2.볶기 3.새우젓으로 간하기,aehobak.jpg
43,시금치나물,"시금치,간장,마늘,참기름",한식,8,1.시금치 데치기 2.물기 짜기 3.양념 무치기,sigeumchi.jpg
44,콩나물무침,"콩나물,쪽파,고춧가루,간장,참기름",한식,10,1.콩나물 데치기 2.양념 만들기 3.무치기,kongnamul_muchim.jpg
45,오이무침,"오이,양파,고춧가루,식초,설탕",한식,7,1.오이 썰기 2.양념 섞기 3.무치기,oi_muchim.jpg
46,계란감자전,"감자,계란,양파,소금",한식,12,1.감자 채썰기 2.계란물 섞기 3.팬에 부치기,gyeran_gamja_jeon.jpg
47,김치전,"김치,부침가루,계란",한식,12,1.반죽 섞기 2.팬에 부치기 3.노릇하게 굽기,kimchi_jeon.jpg
48,부추전,"부추,부침가루,계란",한식,12,1.부추 썰기 2.반죽 섞기 3.얇게 부치기,buchu_jeon.jpg
49,만두피피자,"만두피,모짜렐라치즈,양파,햄,케첩",간단,6,1.만두피에 케첩 바르기 2.토핑 올리기 3.에어프라이어 5분,mandupi_pizza.jpg
50,마늘빵,"식빵,버터,다진마늘,설탕",양식,7,1.버터·마늘·설탕 섞기 2.식빵에 바르기 3.에어프라이어 5분,garlic_bread.jpg
51,계란식빵,"식빵,계란,슬라이스치즈,버터",양식,6,1.식빵에 계란물 묻히기 2.팬에 굽기 3.치즈 올리기,gyeran_sikppang.jpg
52,오트밀바나나죽,"오트밀,바나나,우유,꿀",건강,5,1.오트밀·우유 섞기 2.전자레인지 2분 3.바나나·꿀 올리기,oat_banana.jpg
53,오트밀죽,"오트밀,물,소금",건강,3,1.오트밀·물·소금 섞기 2.전자레인지 2분,oatmeal.jpg
54,연어덮밥,"연어,밥,양파,간장,식초",일식,12,1.연어 굽기 2.소스 만들기 3.밥 위에 올리기,salmon_don.jpg
55,양파덮밥,"양파,계란,밥,간장,설탕",일식,10,1.양파 졸이기 2.계란 풀기 3.밥 위에 올리기,yangpa_don.jpg
56,팽이버섯덮밥,"팽이버섯,계란,밥,간장,굴소스",일식,10,1.버섯 볶기 2.양념·계란 풀기 3.밥 위에 올리기,paengi_don.jpg
57,스팸마요덮밥,"스팸,계란,밥,마요네즈,간장",한식,10,1.스팸 굽기 2.계란프라이 3.마요 두르고 밥에 올리기,spam_mayo.jpg
58,대구주먹밥,"순살대구,밥,김가루,마요네즈",한식,10,1.대구 굽기 2.밥과 양념 섞기 3.동그랗게 빚기,daegu_jumeokbap.jpg
59,참치주먹밥,"참치캔,밥,김가루,쪽파,마요네즈",한식,8,1.참치마요 만들기 2.밥과 섞기 3.동그랗게 빚기,chamchi_jumeokbap.jpg
60,김밥,"김,밥,단무지,당근,시금치,계란,햄",한식,25,1.재료 손질 2.밥 펴고 속재료 올리기 3.김에 말기,gimbap.jpg
61,꼬마김밥,"김,밥,단무지,당근,우엉,닭가슴살",한식,20,1.재료 준비 2.손가락 굵기로 말기 3.썰기,kkoma_gimbap.jpg
62,치킨마요덮밥,"닭가슴살,계란,밥,양배추,마요네즈,간장",일식,15,1.닭 굽기 2.양념·계란 올리기 3.마요 두르기,chicken_mayo.jpg
63,토마토달걀볶음,"토마토,계란,대파,굴소스",중식,8,1.계란 스크램블 2.토마토 볶기 3.섞어 마무리,tomato_egg.jpg
64,우유계란카레,"계란,우유,양파,밥,카레가루",퓨전,15,1.계란·우유 섞기 2.양파 볶기 3.카레 끓이기,milk_curry.jpg
65,카레라이스,"감자,당근,양파,돼지고기,밥,카레가루",일식,30,1.재료 볶기 2.물 붓고 끓이기 3.카레루 풀기,curry.jpg
66,장조림,"소고기홍두깨살,마늘,꽈리고추,간장",한식,45,1.고기 삶기 2.간장 양념 만들기 3.조리기,jangjorim.jpg
67,제육덮밥,"돼지앞다리살,양파,대파,밥,고추장",한식,18,1.고기 양념 재우기 2.볶기 3.밥에 올리기,jeyuk_don.jpg
68,불고기,"소고기,양파,당근,대파,버섯,간장",한식,20,1.양념장 만들기 2.고기 재우기 3.채소와 볶기,bulgogi.jpg
69,고구마구이,고구마,건강,32,1.고구마 씻기 2.에어프라이어 200도 30분,goguma.jpg
70,감자튀김,"냉동감자,소금,케첩",간단,12,1.에어프라이어 200도 12분 2.소금 뿌리기,gamja_fries.jpg
71,매운삼겹찜,"삼겹살,감자,양파,청양고추,고춧가루,고추장",한식,35,1.양념 만들기 2.재료 넣기 3.푹 졸이기,spicy_samgyeop.jpg
72,대패삼겹숙주볶음,"대패삼겹살,숙주,대파,굴소스",한식,10,1.삼겹 굽기 2.숙주 넣기 3.굴소스 볶기,daepae_sukju.jpg
73,닭가슴살샐러드,"닭가슴살,양상추,방울토마토,오이,올리브유",건강,12,1.닭 굽기 2.채소 손질 3.드레싱과 버무리기,chicken_salad.jpg
74,계란샌드위치,"식빵,계란,오이,마요네즈,머스타드",양식,10,1.계란 삶기 2.으깨서 마요와 섞기 3.식빵에 끼우기,egg_sandwich.jpg
75,BLT샌드위치,"식빵,베이컨,양상추,토마토,치즈",양식,12,1.베이컨 굽기 2.재료 올리기 3.샌드위치 만들기,blt.jpg
76,치즈퀘사디아,"또띠아,모짜렐라치즈,양파,닭가슴살,파프리카",양식,12,1.속재료 볶기 2.또띠아에 넣기 3.팬에 굽기,quesadilla.jpg
77,또띠아롤,"또띠아,치즈,햄,양상추,당근,마요네즈",양식,8,1.재료 올리기 2.돌돌 말기 3.썰기,tortilla_roll.jpg
78,가리비치즈구이,"가리비,모짜렐라치즈,양파,파프리카,마늘",양식,20,1.가리비 손질 2.치즈·재료 올리기 3.오븐에 굽기,scallop.jpg
79,새우알리오올리오,"스파게티면,새우,마늘,페페론치노,올리브유",양식,15,1.면 삶기 2.새우·마늘 볶기 3.면 버무리기,shrimp_aglio.jpg
80,오징어볶음,"오징어,양파,양배추,당근,고추장",한식,20,1.양념장 만들기 2.오징어 볶기 3.채소와 볶기,ojingeo.jpg
81,메추리알볶음,"메추리알,꽈리고추,간장,설탕",한식,15,1.메추리알 삶기 2.간장양념 만들기 3.조리기,quail_egg.jpg
82,계란장조림,"삶은계란,청양고추,마늘,간장",한식,15,1.계란 삶기 2.간장양념 끓이기 3.절이기,gyeran_jangjorim.jpg
83,치즈라면,"라면,슬라이스치즈,계란,대파",간단,6,1.라면 끓이기 2.계란 풀기 3.치즈 올리기,cheese_ramen.jpg
84,짜파게티,"짜파게티,양파,계란",간단,8,1.면 삶기 2.양파 볶기 3.짜장 비비기,jjapaghetti.jpg
85,컵라면계란찜,"컵라면,계란,냉동만두",간단,5,1.컵라면에 물 붓기 2.계란 풀기 3.전자레인지 4분,cup_ramen_egg.jpg
86,누룽지,"누룽지,물,소금",한식,10,1.누룽지에 물 붓기 2.끓이기 3.소금 간하기,nurungji.jpg
87,계란죽,"밥,계란,당근,대파,참기름",한식,15,1.밥 끓이기 2.계란 풀기 3.참기름 두르기,gyeran_juk.jpg
88,참치김치찌개,"참치캔,김치,두부,대파,고춧가루",한식,20,1.김치 볶기 2.물 붓기 3.참치·두부 넣고 끓이기,chamchi_kimchi.jpg
89,어묵국,"어묵,무,대파,국간장",한식,15,1.무 끓이기 2.어묵 넣기 3.국간장 간하기,eomuk_guk.jpg
90,계란국,"계란,대파,양파,국간장",한식,10,1.물 끓이기 2.양파 넣기 3.계란 풀어 넣기,gyeran_guk.jpg
91,스크램블에그,"계란,우유,버터,소금",양식,5,1.계란·우유 풀기 2.버터 녹이기 3.부드럽게 익히기,scrambled.jpg
92,오믈렛,"계란,치즈,햄,양파,피망",양식,10,1.속재료 다지기 2.계란물 부치기 3.반으로 접기,omelette.jpg
93,감자수프,"감자,양파,우유,버터",양식,20,1.감자·양파 익히기 2.우유 넣고 갈기 3.끓이기,gamja_soup.jpg
94,단호박에그슬럿,"단호박,계란,치즈,우유",양식,18,1.단호박 찌기 2.으깨서 계란 올리기 3.오븐에 굽기,danhobak_eggslut.jpg
95,차돌마늘떡볶이,"떡,차돌박이,마늘,대파,간장,버터",한식,15,1.마늘·차돌 볶기 2.떡 넣기 3.간장양념 졸이기,chadol_tteokbokki.jpg
96,굴소스마요라면,"라면,계란,쪽파,굴소스,마요네즈",간단,8,1.라면 끓이기 2.굴소스 넣기 3.마요 두르기,gulsosa_ramen.jpg
97,두부김치,"두부,김치,돼지고기,대파",한식,15,1.두부 데치기 2.김치·고기 볶기 3.두부에 올리기,dubu_kimchi.jpg
98,감자조림,"감자,당근,양파,간장,설탕",한식,20,1.감자 썰기 2.간장양념 끓이기 3.조리기,gamja_jorim.jpg
99,멸치볶음,"잔멸치,꽈리고추,아몬드,간장,설탕",한식,10,1.멸치 볶기 2.양념 넣기 3.아몬드와 버무리기,myeolchi.jpg
100,어묵볶음,"어묵,양파,당근,대파,고추장",한식,12,1.어묵 데치기 2.양념장 만들기 3.볶기,eomuk_bokkeum.jpg
101,김피탕,"탕수육,김치,양파,모짜렐라치즈",퓨전,15,1.탕수육 튀기기 2.김치·양파 볶기 3.치즈 올려 마무리,gimpitang.jpg
102,닭가슴살파스타,"스파게티면,닭가슴살,양파,마늘,버섯,올리브유",양식,18,1.면 삶기 2.닭·채소 볶기 3.면과 버무리기,chicken_pasta.jpg
103,브런치플레이트,"식빵,계란,베이컨,양상추,방울토마토",양식,15,1.식빵 굽기 2.베이컨·계란 굽기 3.샐러드 곁들이기,brunch_plate.jpg
104,닭가슴살볼샐러드,"닭가슴살볼,양상추,오이,방울토마토,오리엔탈드레싱",건강,8,1.재료 손질 2.닭볼 데우기 3.드레싱 버무리기,chicken_ball_salad.jpg
105,냉동만두구이,"냉동만두,간장,식초",간단,10,1.에어프라이어 170도 10분 2.초간장 곁들이기,mandu_gui.jpg
106,감자전,"감자,부침가루,소금",한식,15,1.감자 갈기 2.반죽 만들기 3.팬에 부치기,gamja_jeon.jpg
